Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3992|5007140|510|2025-08-21|COVE257RI0BP4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:12:04|
3992|5007902|510|2025-09-08|COVE257T16GL2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 20:28:04|
3992|5007202|510|2025-08-22|COVE257RZ9K58|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 11:11:01|
3992|5007683|510|2025-08-25|COVE257SJAHS8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:19:02|
3381|5009421|370|2025-08-04|8DF3FAFF-3BA1-4A17-83F1-7B3502E40EFE|EXW|USD|425.31|425.31|HND| |08019025187502|VENTO MOTORCYCLES HONDURAS S.A.|BLV. MORAZAN||S/N|SN|COLONIA LOS ALMENDRO, TEGUCIGALPA|2025-10-24 17:28:01|
3992|5007470|510|2025-09-12|COVE257SJBI74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:05|
3992|5007128|510|2025-08-18|COVE257RKM1M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:03|
3992|5007262|510|2025-08-20|COVE257SB7HT2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:05|
3992|5007715|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:05|
3992|5007165|510|2025-08-04|COVE257RI0EV4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:12:04|
3992|5007445|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:05|
3992|5007331|510|2025-09-08|COVE257S7T6V6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 13:55:03|
