Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
3992|5007290|510|23|0|46|1|2025-10-10 17:49:01|
3992|5007752|510|23|0|46|1|2025-10-22 17:10:01|
3992|5007417|510|1|0|14041|1|2025-10-16 18:31:02|
3992|5007392|510|23|0|46|1|2025-10-16 19:48:03|
3992|5006731|510|1|0|10545|1|2025-10-28 00:21:05|
3992|5007013|510|1|0|14111|1|2025-10-28 13:14:01|
3992|5007018|510|1|0|12077|1|2025-10-02 17:09:01|
3992|5007879|510|1|0|5551|1|2025-10-29 16:53:01|
3992|5007332|510|15|0|290|1|2025-10-15 13:55:03|
3992|5007898|510|1|0|6244|1|2025-10-29 20:28:03|
3992|5007294|510|23|0|46|1|2025-10-10 19:18:01|
3992|5007275|510|23|0|46|1|2025-10-28 13:51:03|
3992|5006868|510|1|0|12077|1|2025-10-02 17:09:04|
3992|5007113|510|15|0|290|1|2025-10-08 15:34:01|
3992|5006985|510|1|0|12755|1|2025-10-02 16:34:01|
3992|5006675|510|15|0|290|1|2025-10-10 16:27:02|
3992|5007100|510|15|0|290|1|2025-10-03 12:19:01|
3992|5007141|510|1|0|6151|1|2025-10-02 15:12:04|
3992|5007011|510|15|0|290|1|2025-10-09 15:58:03|
3992|5006939|510|1|0|15228|1|2025-10-10 18:26:01|
3992|5007453|510|15|0|290|1|2025-10-28 12:19:03|
3992|5007290|510|15|0|290|1|2025-10-10 17:49:01|
3992|5006626|510|23|0|46|1|2025-10-10 17:49:04|
3992|5007338|510|15|0|290|1|2025-10-13 18:32:00|
3992|5007951|510|15|0|290|1|2025-10-31 18:16:02|
3992|5007896|510|23|0|46|1|2025-10-29 20:28:02|
3992|5007163|510|15|0|290|1|2025-10-02 16:12:02|
3992|5007793|510|23|0|46|1|2025-10-27 17:18:02|
3992|5006990|510|15|0|290|1|2025-10-02 16:34:04|
3992|5007009|510|1|0|14066|1|2025-10-09 15:58:04|
3992|5006870|510|23|0|46|1|2025-10-02 17:09:05|
3992|5007329|510|15|0|290|1|2025-10-15 13:54:01|
3992|5007684|510|1|0|14683|1|2025-10-21 16:19:02|
3992|5007022|510|15|0|290|1|2025-10-02 17:09:03|
3992|5007478|510|23|0|46|1|2025-10-28 12:19:05|
3992|5007447|510|15|0|290|1|2025-10-28 12:19:02|
3992|5007106|510|23|0|46|1|2025-10-27 17:43:04|
3992|5007471|510|1|0|6260|1|2025-10-21 16:17:06|
3992|5007805|510|15|0|290|1|2025-10-30 17:57:00|
3992|5006664|510|1|0|15951|1|2025-10-10 16:27:03|
3992|5007718|510|1|0|6181|1|2025-10-21 16:18:06|
3992|5006411|510|1|0|16507|1|2025-10-10 17:37:03|
3992|5006870|510|15|0|290|1|2025-10-02 17:09:05|
3992|5007833|510|1|0|5088|1|2025-10-27 19:03:01|
3992|5007102|510|15|0|290|1|2025-10-03 12:37:00|
3992|5007176|510|23|0|46|1|2025-10-09 13:34:03|
3992|5007364|510|1|0|12332|1|2025-10-16 19:47:08|
3992|5007239|510|15|0|290|1|2025-10-15 15:12:02|
3992|5007703|510|1|0|12117|1|2025-10-21 16:00:13|
3992|5007020|510|23|0|46|1|2025-10-02 17:09:02|
3992|5007248|510|23|0|46|1|2025-10-15 16:58:02|
3992|5007393|510|23|0|46|1|2025-10-16 20:20:01|
3992|5007466|510|1|0|17566|1|2025-10-21 16:17:04|
3992|5007424|510|23|0|46|1|2025-10-16 18:31:05|
3992|5007285|510|15|0|290|1|2025-10-13 10:37:01|
3992|5007721|510|15|0|290|1|2025-10-21 14:05:01|
3992|5006942|510|23|0|46|1|2025-10-10 17:49:04|
3992|5007250|510|1|0|14135|1|2025-10-16 15:07:04|
3992|5007802|510|15|0|290|1|2025-10-27 18:47:02|
3992|5007444|510|1|0|6230|1|2025-10-17 13:31:05|
3992|5007712|510|15|0|290|1|2025-10-21 16:18:04|
3992|5007267|510|1|0|11600|1|2025-10-15 15:33:03|
3992|5007208|510|23|0|46|1|2025-10-09 18:14:01|
3992|5006678|510|23|0|46|1|2025-10-13 14:44:01|
3992|5007783|510|15|0|290|1|2025-10-27 18:16:01|
3992|5007203|510|23|0|46|1|2025-10-13 11:11:01|
3992|5007246|510|23|0|46|1|2025-10-15 16:16:01|
3992|5007109|510|15|0|290|1|2025-10-03 14:21:06|
3992|5007467|510|1|0|17566|1|2025-10-21 16:17:04|
1861|5004611|370|1|0|446|1|2025-10-23 16:53:02|
3992|5007228|510|15|0|290|1|2025-10-16 15:07:02|
3992|5007449|510|23|0|46|1|2025-10-28 12:19:03|
3992|5007133|510|23|0|46|1|2025-10-03 14:21:05|
3992|5007427|510|23|0|46|1|2025-10-16 20:49:01|
3992|5006731|510|15|0|290|1|2025-10-28 00:21:05|
3992|5007709|510|15|0|290|1|2025-10-21 16:18:01|
3992|5007753|510|15|0|290|1|2025-10-22 17:10:02|
3992|5007897|510|23|0|46|1|2025-10-29 20:28:02|
3992|5007216|510|23|0|46|1|2025-10-16 19:47:02|
3992|5006729|510|23|0|46|1|2025-10-28 14:09:01|
3992|5006872|510|23|0|46|1|2025-10-10 17:49:05|
3992|5007338|510|23|0|46|1|2025-10-13 18:32:00|
3992|5007002|510|1|0|15020|1|2025-10-22 15:24:01|
3992|5007937|510|1|0|1158|1|2025-10-30 17:57:01|
3992|5007177|510|15|0|290|1|2025-10-09 13:34:03|
3992|5007275|510|15|0|290|1|2025-10-28 13:51:03|
3992|5007214|510|1|0|14137|1|2025-10-16 19:47:01|
3992|5007129|510|23|0|46|1|2025-10-03 14:21:03|
3992|5007683|510|23|0|46|1|2025-10-21 16:19:02|
3992|5007889|510|23|0|46|1|2025-10-29 18:25:01|
3992|5007798|510|23|0|46|1|2025-10-27 18:47:00|
3992|5007011|510|23|0|46|1|2025-10-09 15:58:03|
3992|5007470|510|1|0|6260|1|2025-10-21 16:17:05|
3920|5001131|650|15|0|290|1|2025-10-03 15:33:02|
3992|5007295|510|1|0|8163|1|2025-10-13 10:37:01|
3992|5007288|510|15|0|290|1|2025-10-10 17:49:00|
3992|5007937|510|23|0|46|1|2025-10-30 17:57:01|
3992|5007281|510|1|0|5545|1|2025-10-13 11:49:01|
3992|5007876|510|1|0|6268|1|2025-10-29 16:02:02|
3992|5006678|510|1|0|15951|1|2025-10-13 14:44:01|
3992|5007253|510|15|0|290|1|2025-10-14 14:47:01|
3381|5009420|370|1|0|446|1|2025-10-24 17:25:01|
3992|5006748|510|15|0|290|1|2025-10-16 15:07:04|
3992|5006748|510|23|0|46|1|2025-10-16 15:07:04|
3992|5007337|510|15|0|290|1|2025-10-13 18:20:01|
3992|5007119|510|23|0|46|1|2025-10-03 12:58:01|
3992|5007883|510|15|0|290|1|2025-10-29 16:54:03|
3992|5006868|510|23|0|46|1|2025-10-02 17:09:04|
3992|5007008|510|1|0|14066|1|2025-10-09 15:58:04|
3992|5007952|510|23|0|46|1|2025-10-31 18:16:02|
3992|5007862|510|1|0|12791|1|2025-10-29 15:08:01|
3992|5007150|510|1|0|8609|1|2025-10-02 15:23:01|
3992|5007832|510|1|0|5088|1|2025-10-27 19:03:05|
3992|5006993|510|15|0|290|1|2025-10-02 16:34:05|
3992|5007254|510|23|0|46|1|2025-10-15 16:24:01|
3992|5007272|510|15|0|290|1|2025-10-15 15:34:00|
3992|5006988|510|23|0|46|1|2025-10-02 16:34:03|
3992|5006993|510|1|0|12755|1|2025-10-02 16:34:05|
3992|5007701|510|23|0|46|1|2025-10-21 15:50:01|
3992|5007733|510|1|0|6840|1|2025-10-27 19:11:02|
3992|5007020|510|1|0|12077|1|2025-10-02 17:09:02|
3992|5007340|510|15|0|290|1|2025-10-14 12:50:01|
3992|5007788|510|1|0|11224|1|2025-10-27 17:18:02|
3992|5007218|510|23|0|46|1|2025-10-16 19:47:03|
3992|5007423|510|1|0|14041|1|2025-10-16 18:31:05|
3992|5007900|510|15|0|290|1|2025-10-29 20:28:02|
3992|5007175|510|15|0|290|1|2025-10-09 13:34:02|
3992|5007802|510|1|0|8471|1|2025-10-27 18:47:02|
3992|5007744|510|15|0|290|1|2025-10-27 19:11:01|
3992|5007022|510|23|0|46|1|2025-10-02 17:09:03|
3992|5007873|510|1|0|6268|1|2025-10-29 16:02:01|
3992|5007357|510|15|0|290|1|2025-10-16 19:46:01|
3992|5007272|510|1|0|11600|1|2025-10-15 15:34:00|
3992|5007273|510|23|0|46|1|2025-10-28 13:51:02|
3992|5007397|510|1|0|6392|1|2025-10-16 19:48:06|
3992|5007022|510|1|0|12077|1|2025-10-02 17:09:03|
3992|5006991|510|15|0|290|1|2025-10-02 16:34:04|
3992|5007266|510|23|0|46|1|2025-10-16 19:47:07|
3992|5007714|510|23|0|46|1|2025-10-21 16:18:04|
3992|5007004|510|1|0|15020|1|2025-10-22 15:24:02|
3992|5006414|510|1|0|16507|1|2025-10-10 17:38:03|
