Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3992|5007257|510|85122099|29|EN|X|NOM-024-SCFI-2013|2025-10-14 14:47:03|
3992|5007330|510|85443099|22|UM|O||2025-10-15 13:55:02|
3992|5007830|510|90292006|31|ES|N||2025-10-27 19:03:02|
3992|5007406|510|85176217|21|ES|N||2025-10-16 19:48:05|
3992|5007948|510|85122001|24|ES|N||2025-10-31 17:23:01|
3992|5007402|510|84818099|15|UM|O||2025-10-28 12:19:02|
3992|5007898|510|85176217|19|EN|U|NOM-016-SCFI-1993|2025-10-29 20:28:03|
3992|5007702|510|84099199|16|UM|O||2025-10-21 16:00:05|
3992|5007004|510|90292006|33|ES|N||2025-10-22 15:24:02|
3992|5007900|510|85118001|15|EN|X|NOM-024-SCFI-2013|2025-10-29 20:28:02|
3992|5007864|510|84099199|19|ES|N||2025-10-29 15:08:03|
3992|5006734|510|84818099|20|UM|O||2025-10-28 14:09:02|
3992|5007356|510|85123099|25|EN|X|NOM-024-SCFI-2013|2025-10-16 19:46:00|
3992|5007879|510|85365099|13|ES|N||2025-10-29 16:53:01|
3992|5007338|510|39269099|2|XP|S3|U|2025-10-13 18:32:00|
3992|5007203|510|85123099|22|EN|X|NOM-024-SCFI-2013|2025-10-13 11:11:01|
3992|5007258|510|83012002|16|UM|O||2025-10-14 14:47:03|
3992|5007327|510|39269099|2|EN|X|NOM-050-SCFI-2004|2025-10-15 13:55:04|
3992|5007826|510|85122001|17|EN|X|NOM-024-SCFI-2013|2025-10-27 19:03:04|
3992|5007357|510|85365099|28|UM|O||2025-10-16 19:46:01|
3992|5007111|510|84213199|15|ES|N||2025-10-27 17:43:04|
3992|5007400|510|85176217|24|EN|U|NOM-016-SCFI-1993|2025-10-28 12:19:00|
3992|5007842|510|85122001|28|EN|ENOM|NOM-024-SCFI-2013|2025-10-31 19:49:00|
3992|5007718|510|39269099|2|XP|S3|U|2025-10-21 16:18:06|
3992|5007683|510|85071099|20|PS|XVb||2025-10-21 16:19:02|
3992|5007887|510|84821099|7|ES|N||2025-10-29 20:28:01|
3992|5007727|510|85365099|23|ES|N||2025-10-27 19:11:02|
3992|5007863|510|73181606|14|ES|N||2025-10-29 15:08:02|
3992|5007356|510|85443099|30|EN|E|NOM-024-SCFI-2013|2025-10-16 19:46:00|
3992|5007875|510|39269099|2|EN|U|NOM-002-CONAGUA-2021|2025-10-29 16:02:02|
3992|5007327|510|49089099|6|UM|O||2025-10-15 13:55:04|
3992|5007339|510|83012002|14|UM|O||2025-10-14 12:50:01|
3992|5007259|510|85176217|31|EN|U|NOM-218-SCFI-2017|2025-10-14 14:48:02|
3992|5007255|510|90292006|38|EN|X|NOM-050-SCFI-2004|2025-10-14 14:47:02|
3992|5007826|510|84213199|12|EN|X|NOM-050-SCFI-2004|2025-10-27 19:03:04|
3992|5007328|510|85365099|20|UM|O||2025-10-15 13:54:00|
3992|5007899|510|84099199|11|EN|E|NOM-050-SCFI-2004|2025-10-29 20:28:01|
3992|5007864|510|85044099|23|ES|N||2025-10-29 15:08:03|
3992|5007952|510|84833004|22|UM|O||2025-10-31 18:16:02|
3992|5007704|510|84833004|23|UM|O||2025-10-21 16:17:00|
3992|5007754|510|85123099|32|UM|O||2025-10-22 17:10:02|
3992|5007950|510|84833004|22|EN|X|NOM-050-SCFI-2004|2025-10-31 18:16:02|
3992|5007866|510|85365099|33|ES|N||2025-10-29 15:09:01|
3992|5007834|510|90292006|31|UM|O||2025-10-27 19:03:02|
3992|5007397|510|85176217|25|ES|N||2025-10-16 19:48:06|
3992|5007447|510|84073299|12|EN|X|NOM-050-SCFI-2004|2025-10-28 12:19:02|
3992|5007253|510|39269099|3|EN|U|NOM-002-CONAGUA-2021|2025-10-14 14:47:01|
3992|5007259|510|73181599|13|UM|O||2025-10-14 14:48:02|
3992|5007221|510|90292006|17|UM|O||2025-10-13 11:11:02|
3992|5007257|510|85176217|31|EN|U|NOM-218-SCFI-2017|2025-10-14 14:47:03|
3992|5007897|510|84213199|12|UM|O||2025-10-29 20:28:02|
3992|5007229|510|84831008|17|ES|N||2025-10-16 15:07:03|
3992|5007729|510|83012002|8|ES|N||2025-10-27 19:11:01|
3992|5007875|510|90292006|32|UM|O||2025-10-29 16:02:02|
3992|5007867|510|82060001|15|EN|X|NOM-050-SCFI-2004|2025-10-29 15:08:02|
3992|5007002|510|83012002|11|UM|O||2025-10-22 15:24:01|
3992|5007468|510|85176217|16|EN|U|NOM-019-SCFI-1998|2025-10-21 16:17:05|
3992|5007862|510|85364199|32|EN|U|NOM-024-SCFI-2013|2025-10-29 15:08:01|
3992|5007896|510|85122001|17|UM|O||2025-10-29 20:28:02|
3992|5007479|510|85122001|22|UM|O||2025-10-28 12:19:05|
3992|5006781|510|84099199|14|ES|N||2025-10-16 18:38:02|
3992|5007880|510|85071099|10|UM|O||2025-10-29 16:54:01|
3992|5007338|510|84073299|15|EN|X|NOM-050-SCFI-2004|2025-10-13 18:32:00|
3992|5007337|510|85123099|26|ES|N||2025-10-13 18:20:01|
3992|5007337|510|73181599|8|EN|X|NOM-050-SCFI-2004|2025-10-13 18:20:01|
3992|5007202|510|85176217|24|EN|U|NOM-019-SCFI-1998|2025-10-13 11:11:01|
3992|5007805|510|84831008|30|ES|N||2025-10-30 17:57:00|
3992|5007419|510|39269099|1|UM|O||2025-10-16 18:31:03|
3992|5007296|510|84099199|10|UM|O||2025-10-28 15:14:00|
3992|5007875|510|85176217|33|EN|U|NOM-196-SCFI-2016|2025-10-29 16:02:02|
3992|5007878|510|84212301|11|UM|O||2025-10-29 16:02:03|
3992|5007003|510|85044017|19|EN|X|NOM-001-SCFI-2018|2025-10-22 15:24:02|
3992|5007754|510|40169304|5|UM|O||2025-10-22 17:10:02|
3992|5007875|510|85365099|25|EN|U|NOM-003-SCFI-2014|2025-10-29 16:02:02|
3992|5007106|510|84821099|17|EN|X|NOM-050-SCFI-2004|2025-10-27 17:43:04|
3992|5007410|510|90292006|34|UM|O||2025-10-27 13:12:04|
3992|5007216|510|70091099|5|EN|U|NOM-024-SCFI-2013|2025-10-16 19:47:02|
3992|5007865|510|84213199|20|PS|XVb||2025-10-29 15:08:03|
3992|5007340|510|49089099|8|UM|O||2025-10-14 12:50:01|
3992|5007259|510|49119999|10|ES|N||2025-10-14 14:48:02|
3992|5007269|510|85044017|19|EN|X|NOM-024-SCFI-2013|2025-10-15 15:33:04|
3992|5007259|510|85123099|30|UM|O||2025-10-14 14:48:02|
3992|5007410|510|85122001|22|EN|X|NOM-024-SCFI-2013|2025-10-27 13:12:04|
3992|5007389|510|70091099|5|EN|U|NOM-024-SCFI-2013|2025-10-16 20:20:01|
3992|5007791|510|84213199|19|ES|N||2025-10-28 16:49:03|
3992|5007791|510|90292006|12|UM|O||2025-10-28 16:49:03|
3992|5007952|510|73269099|16|XP|T9|U|2025-10-31 18:16:02|
3992|5007698|510|85176217|27|EN|U|NOM-019-SCFI-1998|2025-10-21 15:49:00|
3992|5007682|510|90292006|36|EN|X|NOM-050-SCFI-2004|2025-10-21 16:19:02|
3992|5007865|510|84213199|20|EN|X|NOM-050-SCFI-2004|2025-10-29 15:08:03|
3992|5007866|510|32091002|1|EN|X|NOM-003-SSA1-2006|2025-10-29 15:09:01|
3992|5007400|510|85176217|24|EN|U|NOM-196-SCFI-2016|2025-10-28 12:19:00|
3992|5007216|510|84818099|16|UM|O||2025-10-16 19:47:02|
3992|5007800|510|84833004|22|EN|X|NOM-050-SCFI-2004|2025-10-27 18:47:01|
3992|5007256|510|85122001|28|ES|N||2025-10-14 14:47:02|
3992|5007254|510|85176217|25|EN|U|NOM-001-SCFI-2018|2025-10-15 16:24:01|
3992|5007236|510|85176217|29|EN|X|NOM-024-SCFI-2013|2025-10-15 15:12:01|
3992|5007257|510|85113005|25|EN|E|NOM-024-SCFI-2013|2025-10-14 14:47:03|
3992|5007900|510|39269099|1|XP|S1|U|2025-10-29 20:28:02|
3992|5007371|510|85122099|23|ES|N||2025-10-16 19:47:10|
3992|5007447|510|84099199|13|EN|E|NOM-050-SCFI-2004|2025-10-28 12:19:02|
3992|5007805|510|84133099|22|ES|N||2025-10-30 17:57:00|
3992|5007870|510|84099199|9|ES|N||2025-10-29 16:54:01|
3992|5007754|510|73182291|14|UM|O||2025-10-22 17:10:02|
3992|5007716|510|39269099|2|UM|O||2025-10-21 16:18:06|
3992|5007870|510|84213199|10|PS|XVb||2025-10-29 16:54:01|
3992|5007738|510|90292006|28|EN|X|NOM-050-SCFI-2004|2025-10-27 13:10:06|
3992|5007743|510|85123099|20|UM|O||2025-10-27 13:11:07|
3992|5007414|510|49089099|8|ES|N||2025-10-16 20:49:00|
3992|5007833|510|73181599|38|EN|X|NOM-050-SCFI-2004|2025-10-27 19:03:01|
3992|5007285|510|90318099|28|XP|D1|U|2025-10-13 10:37:01|
3992|5007258|510|84213199|20|EN|X|NOM-050-SCFI-2004|2025-10-14 14:47:03|
3992|5006686|510|85444299|39|UM|O||2025-10-13 14:44:01|
3992|5007259|510|85113005|25|UM|O||2025-10-14 14:48:02|
3992|5007276|510|85364199|28|UM|O||2025-10-28 13:51:03|
3992|5007364|510|90318099|34|UM|O||2025-10-16 19:47:08|
3992|5007447|510|73181599|7|EC|1||2025-10-28 12:19:02|
3992|5007864|510|83012002|16|EN|U|NOM-050-SCFI-2004|2025-10-29 15:08:03|
3992|5007875|510|85364199|23|ES|N||2025-10-29 16:02:02|
3992|5007752|510|85122001|29|UM|O||2025-10-22 17:10:01|
3992|5007702|510|73181606|11|EN|X|NOM-050-SCFI-2004|2025-10-21 16:00:05|
3992|5007897|510|84831008|13|EN|X|NOM-050-SCFI-2004|2025-10-29 20:28:02|
3992|5007106|510|39269099|1|XP|A1|U|2025-10-27 17:43:04|
3992|5007900|510|85176217|19|EN|U|NOM-001-SCFI-2018|2025-10-29 20:28:02|
3992|5007364|510|90292006|33|UM|O||2025-10-16 19:47:08|
3992|5007887|510|85443099|21|ES|N||2025-10-29 20:28:01|
3992|5007255|510|73181599|13|EN|X|NOM-050-SCFI-2004|2025-10-14 14:47:02|
3992|5007337|510|39269099|2|EN|U|NOM-002-CONAGUA-2021|2025-10-13 18:20:01|
3992|5007203|510|82060001|10|UM|O||2025-10-13 11:11:01|
3992|5007268|510|73181599|9|EC|1||2025-10-15 15:33:04|
3992|5007741|510|85118001|17|ES|N||2025-10-27 13:11:04|
3992|5007409|510|39239099|1|PS|XVb||2025-10-16 19:48:07|
3992|5007780|510|85113005|14|UM|O||2025-10-28 14:10:01|
3992|5007106|510|85176217|27|ES|N||2025-10-27 17:43:04|
3992|5007862|510|85071099|24|EN|X|NOM-024-SCFI-2013|2025-10-29 15:08:01|
3992|5007701|510|85176217|27|EN|U|NOM-218-SCFI-2017|2025-10-21 15:50:01|
3992|5007707|510|90292006|12|UM|O||2025-10-21 16:17:02|
3992|5007862|510|85176217|31|EN|U|NOM-218-SCFI-2017|2025-10-29 15:08:01|
3992|5007883|510|82060001|7|UM|O||2025-10-29 16:54:03|
3992|5007876|510|84073299|10|EN|X|NOM-050-SCFI-2004|2025-10-29 16:02:02|
3992|5007370|510|84213199|15|EN|X|NOM-050-SCFI-2004|2025-10-16 19:47:10|
3992|5007276|510|85365099|29|UM|O||2025-10-28 13:51:03|
3992|5007329|510|70091099|7|EN|U|NOM-024-SCFI-2013|2025-10-15 13:54:01|
3992|5007239|510|84831008|15|EN|X|NOM-050-SCFI-2004|2025-10-15 15:12:02|
3992|5007239|510|85113005|18|UM|O||2025-10-15 15:12:02|
3992|5007337|510|90292006|32|EN|U|NOM-024-SCFI-2013|2025-10-13 18:20:01|
3992|5007740|510|84213199|12|EN|X|NOM-050-SCFI-2004|2025-10-27 13:11:03|
3992|5007308|510|85122001|21|ES|N||2025-10-16 21:23:01|
3992|5007481|510|85444299|29|ES|N||2025-10-28 12:19:06|
3992|5007899|510|70091099|5|EN|X|NOM-050-SCFI-2004|2025-10-29 20:28:01|
3992|5007950|510|73269099|16|XP|T1|U|2025-10-31 18:16:02|
3992|5007463|510|73181599|8|UM|O||2025-10-21 16:17:02|
3992|5007473|510|85113005|14|EN|E|NOM-024-SCFI-2013|2025-10-21 16:18:08|
3992|5007901|510|49089099|4|UM|O||2025-10-29 20:28:03|
3992|5007862|510|90292006|38|EN|U|NOM-024-SCFI-2013|2025-10-29 15:08:01|
3992|5007402|510|84073299|12|ES|N||2025-10-28 12:19:02|
3992|5007448|510|84821099|13|EN|X|NOM-050-SCFI-2004|2025-10-17 13:31:06|
3992|5007896|510|85113005|14|EN|E|NOM-024-SCFI-2013|2025-10-29 20:28:02|
3992|5007259|510|85176217|31|EN|X|NOM-208-SCFI-2016|2025-10-14 14:48:02|
3992|5007256|510|85443099|34|EN|E|NOM-024-SCFI-2013|2025-10-14 14:47:02|
3992|5007221|510|73181599|6|EC|1||2025-10-13 11:11:02|
3992|5007271|510|73181606|10|ES|N||2025-10-15 15:33:04|
3992|5007861|510|85443099|34|UM|O||2025-10-29 15:08:01|
3992|5007426|510|90292006|31|ES|N||2025-10-16 18:31:06|
3992|5007793|510|82060001|15|ES|N||2025-10-27 17:18:02|
3992|5007899|510|90292006|25|UM|O||2025-10-29 20:28:01|
3992|5007866|510|40114001|4|ES|N||2025-10-29 15:09:01|
3992|5007706|510|83012002|16|EN|U|NOM-050-SCFI-2004|2025-10-21 16:17:01|
3992|5007752|510|84073299|18|ES|N||2025-10-22 17:10:01|
3992|5007951|510|40169304|3|EN|U|NOM-002-CONAGUA-2021|2025-10-31 18:16:02|
3992|5007900|510|39269099|1|XP|A1|U|2025-10-29 20:28:02|
3992|5007780|510|85122001|16|UM|O||2025-10-28 14:10:01|
3992|5007371|510|73181599|8|UM|O||2025-10-16 19:47:10|
3992|5007802|510|73269099|11|XP|T9|U|2025-10-27 18:47:02|
3992|5007269|510|85364199|27|ES|N||2025-10-15 15:33:04|
3992|5007268|510|90318099|34|UM|O||2025-10-15 15:33:04|
3992|5007255|510|83100099|17|ES|N||2025-10-14 14:47:02|
3992|5007285|510|85071099|13|UM|O||2025-10-13 10:37:01|
3992|5006731|510|85443099|33|UM|O||2025-10-28 00:21:05|
3992|5007248|510|90292006|25|UM|O||2025-10-15 16:58:02|
3992|5007864|510|84831008|21|UM|O||2025-10-29 15:08:03|
3992|5007867|510|85443099|34|EN|E|NOM-024-SCFI-2013|2025-10-29 15:08:02|
3992|5007860|510|39191001|2|ES|N||2025-10-29 15:08:00|
3992|5007754|510|84821099|21|UM|O||2025-10-22 17:10:02|
3992|5007721|510|90292006|30|UM|O||2025-10-21 14:05:01|
3992|5007948|510|85123099|26|UM|O||2025-10-31 17:23:01|
3992|5007799|510|85364199|29|UM|O||2025-10-27 18:47:01|
3992|5007952|510|40114001|4|UM|O||2025-10-31 18:16:02|
3992|5006749|510|85071099|20|EN|X|NOM-024-SCFI-2013|2025-10-16 15:07:02|
3992|5007805|510|40169304|4|UM|O||2025-10-30 17:57:00|
3992|5007337|510|85122001|21|ES|N||2025-10-13 18:20:01|
